Pays,Code ISO,Credit_total,Volaille_Dispo_int,Volaille_Dispo_kg,Fret_aerien,IED_agriculture,Indice_betail,PIB_par_habitant,Stabilite_politique,Part_terre_bio,Cluster_CAH,Cluster_KMeans,Cluster_CAH_median,Cluster_KMeans_median,Volaille_Import,Ratio_import_volaille,Indice_dépendance_bio,Bio_par_crédit,Volaille_import_vs_betail,Classement_import_volaille_betail<100
ALBANIE,ALB,3059,47,16,1566,0.57,100.97,12771,0.37,0.05,1,1,1,0,38,0.8085106382978723,0.0013157894736842105,1.6345210853220006e-05,0.37634941071605427,
ALLEMAGNE,DEU,1585044,1739,19,7902,0.09,98.88,54110,0.57,6.82,3,0,2,2,842,0.484186313973548,0.008099762470308788,4.302719672135284e-06,8.51537216828479,1.0
ANTIGUA-ET-BARBUDA,ATG,896,7,54,0,2.0,103.0,21370,0.73,3.0,3,0,2,2,7,1.0,0.42857142857142855,0.0033482142857142855,0.06796116504854369,
ARGENTINE,ARG,101351,1962,42,305,1.5,102.98,23385,0.16,2.7,3,0,2,2,8,0.004077471967380225,0.3375,2.6640092352320157e-05,0.07768498737618955,
AUSTRALIE,AUS,728367,1171,48,1983,0.67,90.98,48371,0.88,9.59,3,0,2,2,16,0.013663535439795047,0.599375,1.3166439446048488e-05,0.17586282699494393,
AUTRICHE,AUT,196171,173,18,391,-0.01,101.37,53870,1.03,23.38,3,0,2,2,110,0.6358381502890174,0.21254545454545454,0.00011918173430323544,1.0851336687382855,
BARBADE,BRB,3595,17,47,1566,2.0,102.71,17899,0.95,3.0,3,0,2,2,2,0.11764705882352941,1.5,0.0008344923504867872,0.019472300652322073,
BELGIQUE,BEL,348217,152,13,1574,2.0,102.49,50256,0.42,6.29,3,0,2,2,338,2.223684210526316,0.018609467455621302,1.8063448941321072e-05,3.2978827202653918,
BELIZE,BLZ,1009,19,26,4,2.0,105.23,9122,0.03,0.22,1,1,1,0,0,0.0,inf,0.00021803766105054509,0.0,
BOTSWANA,BWA,5236,7,3,0,2.0,91.88,15701,1.01,3.0,1,1,2,0,3,0.42857142857142855,1.0,0.0005729564553093965,0.0326512842838485,
BULGARIE,BGR,29288,157,22,2,-0.37,97.29,21458,0.32,2.72,1,0,2,2,108,0.6878980891719745,0.025185185185185185,9.28708003277793e-05,1.1100832562442182,6.0
Bahamas,BHS,415993,26,43,0,2.0,100.63,33703,0.98,0.38,3,0,2,2,24,0.9230769230769231,0.015833333333333335,9.134769094672267e-07,0.23849746596442414,
BÉNIN,BEN,2161,161,14,1566,2.0,104.82,2886,0.03,0.46,1,1,1,0,123,0.7639751552795031,0.0037398373983739837,0.0002128644146228598,1.1734401831711507,
CAMBODGE,KHM,13417,38,2,1,8.39,100.42,5050,0.09,0.19,1,1,1,0,10,0.2631578947368421,0.019,1.4161138853693075e-05,0.09958175662218681,
CANADA,CAN,221855,1433,39,2841,2.0,108.97,48317,1.09,2.06,3,0,2,2,182,0.1270062805303559,0.01131868131868132,9.285344031011246e-06,1.670184454437001,
CHYPRE,CYP,48707,38,25,0,2.0,109.56,38415,0.53,4.61,3,0,2,2,14,0.3684210526315789,0.3292857142857143,9.464758658919663e-05,0.12778386272362174,
COSTA RICA,CRI,27609,134,27,11,1.34,102.78,20499,0.6,0.49,3,0,2,2,17,0.12686567164179105,0.028823529411764706,1.7747835850628418e-05,0.16540182914964,
Chili,CHL,415993,672,36,1238,2.16,96.26,24295,0.41,0.16,3,0,2,2,155,0.23065476190476192,0.001032258064516129,3.8462185661777964e-07,1.6102223145647205,2.0
Corée du sud,KOR,930223,854,17,11512,0.03,98.91,40957,0.38,1.23,3,0,2,2,137,0.16042154566744732,0.008978102189781022,1.3222635862583487e-06,1.3850975634415126,4.0
Croatie,HRV,415993,45,11,1,1.49,104.96,27890,0.68,6.45,3,0,2,2,24,0.5333333333333333,0.26875,1.550506859490424e-05,0.22865853658536586,
Danemark,DNK,415993,167,29,1566,2.0,99.58,55272,0.85,8.89,3,0,2,2,133,0.7964071856287425,0.0668421052631579,2.137055190832538e-05,1.3356095601526412,5.0
ESPAGNE,ESP,668336,1497,30,1079,0.13,106.96,39806,0.27,7.92,3,0,2,2,205,0.13694054776219106,0.038634146341463414,1.1850326781738527e-05,1.9166043380703068,
ESTONIE,EST,7996,29,21,1566,1.62,96.13,34507,0.64,20.0,3,0,2,2,21,0.7241379310344828,0.9523809523809523,0.0025012506253126563,0.21845417663580569,
FINLANDE,FIN,89625,111,19,852,2.0,100.28,47235,1.06,11.4,3,0,2,2,16,0.14414414414414414,0.7125,0.00012719665271966528,0.15955325089748704,
FRANCE,FRA,1073559,1573,23,4261,0.25,99.19,44469,0.27,6.08,3,0,2,2,506,0.32167832167832167,0.012015810276679842,5.6634055510689216e-06,5.101320697650973,
Fidji,FJI,415993,26,28,103,2.0,142.51,12820,0.59,5.28,1,1,1,0,3,0.11538461538461539,1.76,1.2692521268386728e-05,0.021051154304961055,
GHANA,GHA,8656,211,7,0,0.21,106.21,5171,0.08,0.13,1,1,1,0,151,0.7156398104265402,0.0008609271523178808,1.50184842883549e-05,1.421711703229451,
GRENADE,GRD,606,8,46,1566,2.0,101.51,15041,0.99,1.13,3,0,2,2,7,0.875,0.16142857142857142,0.0018646864686468645,0.06895872327849473,
HONGRIE,HUN,23669,266,25,1566,1.24,100.36,29496,0.8,3.77,3,0,2,2,58,0.21804511278195488,0.065,0.00015928007097891757,0.5779194898365883,
IRLANDE,IRL,101974,128,26,154,2.0,112.25,80786,0.99,1.66,3,0,2,2,99,0.7734375,0.016767676767676768,1.6278659266087433e-05,0.8819599109131403,
ITALIE,ITA,918390,1173,19,1437,1.7,100.09,41770,0.29,14.88,3,0,2,2,97,0.08269394714407502,0.15340206185567012,1.6202267010747068e-05,0.9691277849935058,
Islande,ISL,415993,10,30,167,-24.3,107.9,55638,1.34,0.54,3,0,2,2,2,0.2,0.27,1.2980987660850064e-06,0.018535681186283594,
JAMAÏQUE,JAM,4811,152,51,3,2.0,106.86,9820,0.3,0.09,3,0,2,2,31,0.20394736842105263,0.0029032258064516127,1.8707129494907502e-05,0.29009919520868427,
JAPON,JPN,4370171,2415,18,10685,0.13,100.89,41444,1.1,0.21,3,0,2,2,1069,0.4426501035196687,0.00019644527595884004,4.805303957213573e-08,10.595698285261175,
KAZAKHSTAN,KAZ,38973,331,18,50,0.5,107.72,23973,0.02,0.13,1,1,1,0,174,0.525679758308157,0.0007471264367816092,3.3356426243809818e-06,1.6152989231340513,
Lettonie,LVA,415993,41,21,3,6.79,103.72,27646,0.45,13.91,3,0,2,2,43,1.048780487804878,0.3234883720930233,3.343806265970822e-05,0.414577709217123,
Lituanie,LTU,415993,82,28,0,6.08,97.51,33761,0.77,7.98,3,0,2,2,44,0.5365853658536586,0.18136363636363637,1.918301509881176e-05,0.4512357706901856,9.0
Luxembourg,LUX,415993,11,18,7321,2.0,108.88,114986,1.31,4.15,3,0,2,2,11,1.0,0.3772727272727273,9.97612940602366e-06,0.10102865540044086,
MALAISIE,MYS,366766,1621,39,1455,0.44,102.78,26416,0.11,3.0,3,0,2,2,68,0.041949413942011106,0.04411764705882353,8.179602253207768e-06,0.66160731659856,
MALDIVES,MDV,1361,12,14,8,2.0,101.2,19768,0.22,3.0,1,1,1,0,12,1.0,0.25,0.002204261572373255,0.11857707509881422,
Malte,MLT,415993,14,27,3,-0.18,96.0,45677,1.24,0.29,3,0,2,2,9,0.6428571428571429,0.03222222222222222,6.971271151197255e-07,0.09375,
