Pays,Code ISO,Année,Volaille_Import,Volaille_Dispo_int,Volaille_Dispo_kg,IED_agriculture,Indice_betail,PIB_par_habitant,Stabilite_politique,Population_totale,Part_terre_bio,Cluster_CAH,Cluster_KMeans,Volaille_vs_Median,Nb_dépassement_median,Ratio_Volaille_Import,Distance_France
NOUVELLE-ZÉLANDE,NZL,2017,1.0,168.0,35.0,-7.87,98.69,42207.0,1.56,4702034.0,0.83,4,3,Au-dessus de la médiane,4,0.005952380952380952,60140475.061073124
Islande,ISL,2017,2.0,10.0,30.0,-24.3,107.9,55638.0,1.34,334393.0,0.54,4,3,En-dessous de la médiane,4,0.2,64508116.98781604
Luxembourg,LUX,2017,11.0,11.0,18.0,1.527777777777778,108.88,114986.0,1.31,591910.0,4.15,4,3,En-dessous de la médiane,4,1.0,64250637.71816653
Malte,MLT,2017,9.0,14.0,27.0,-0.18,96.0,45677.0,1.24,437933.0,0.29,4,3,En-dessous de la médiane,3,0.6428571428571429,64404576.03211585
SUISSE,CHE,2017,51.0,133.0,16.0,1.527777777777778,98.23,68194.0,1.24,8455804.0,9.9,4,3,En-dessous de la médiane,4,0.38345864661654133,56386710.01143214
Norvège,NOR,2017,2.0,102.0,19.0,1.527777777777778,101.97,64590.0,1.15,5296326.0,4.78,4,3,En-dessous de la médiane,3,0.0196078431372549,59546186.4198037
Portugal,PRT,2017,82.0,325.0,31.0,1.527777777777778,102.14,32971.0,1.11,10288527.0,6.91,4,3,Au-dessus de la médiane,7,0.2523076923076923,54553983.22760386
JAPON,JPN,2017,1069.0,2415.0,18.0,0.13,100.89,41444.0,1.1,127502725.0,0.21,3,3,Au-dessus de la médiane,5,0.4426501035196687,62660216.0812048
CANADA,CAN,2017,182.0,1433.0,39.0,1.527777777777778,108.97,48317.0,1.09,36732095.0,2.06,4,3,Au-dessus de la médiane,8,0.1270062805303559,28110414.26559641
FINLANDE,FIN,2017,16.0,111.0,19.0,1.527777777777778,100.28,47235.0,1.06,5511371.0,11.4,4,3,En-dessous de la médiane,3,0.14414414414414414,59331138.084511675
URUGUAY,URY,2017,3.0,33.0,9.0,15.06,103.7,23607.0,1.04,3436641.0,13.23,4,3,En-dessous de la médiane,5,0.09090909090909091,61405871.56519777
AUTRICHE,AUT,2017,110.0,173.0,18.0,-0.01,101.37,53870.0,1.03,8819901.0,23.38,4,3,Au-dessus de la médiane,5,0.6358381502890174,56022608.807673454
TCHÉQUIE,CZE,2017,116.0,249.0,22.0,-0.2,101.11,39346.0,0.99,10641034.0,14.34,4,3,Au-dessus de la médiane,7,0.46586345381526106,54201475.25968185
IRLANDE,IRL,2017,99.0,128.0,26.0,1.527777777777778,112.25,80786.0,0.99,4753279.0,1.66,4,3,En-dessous de la médiane,6,0.7734375,60089240.99346957
GRENADE,GRD,2017,7.0,8.0,46.0,1.527777777777778,101.51,15041.0,0.99,110874.0,1.13,4,3,En-dessous de la médiane,2,0.875,64731641.710057035
Bahamas,BHS,2017,24.0,26.0,43.0,1.527777777777778,100.63,33703.0,0.98,381755.0,0.38,4,3,En-dessous de la médiane,3,0.9230769230769231,64460754.91941776
Suède,SWE,2017,84.0,187.0,17.0,0.03,99.14,51474.0,0.97,9904896.0,19.16,4,3,Au-dessus de la médiane,6,0.44919786096256686,54937613.465703815
BARBADE,BRB,2017,2.0,17.0,47.0,1.527777777777778,102.71,17899.0,0.95,286232.0,2.821206896551724,4,3,En-dessous de la médiane,4,0.11764705882352941,64556282.48854934
Pays Bas,NLD,2017,608.0,372.0,20.0,1.527777777777778,100.6,56038.0,0.91,17021347.0,3.27,3,3,Au-dessus de la médiane,7,1.6344086021505377,47821163.414589055
SLOVAQUIE,SVK,2017,63.0,74.0,14.0,0.36,101.19,30246.0,0.9,5447900.0,10.07,4,3,En-dessous de la médiane,4,0.8513513513513513,59394610.7235325
AUSTRALIE,AUS,2017,16.0,1171.0,48.0,0.67,90.98,48371.0,0.88,24584620.0,9.59,4,3,Au-dessus de la médiane,6,0.013663535439795047,40257889.19409876
